epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1411.25,1.00288,0.76766,1.00748,0.35461,0.41968,0.32809,0.20055,1.42673,2.14543,1.13035,0.000523586,0.000523586,0.000523586
66,1432.57,0.96517,0.70613,0.99953,0.37905,0.37208,0.31729,0.19083,1.46009,2.10938,1.14828,0.000509438,0.000509438,0.000509438
67,1454,0.98852,0.7041,0.99062,0.34425,0.43493,0.32841,0.20338,1.46727,2.05682,1.14944,0.000495291,0.000495291,0.000495291
68,1477.65,0.96636,0.68744,0.98823,0.3577,0.47759,0.32026,0.19711,1.48308,2.03508,1.15195,0.000481144,0.000481144,0.000481144
69,1499.3,0.94807,0.67055,0.97896,0.37618,0.41432,0.31094,0.19052,1.48375,2.0403,1.14278,0.000466997,0.000466997,0.000466997
70,1523.74,0.98125,0.70914,0.99093,0.39858,0.33142,0.29309,0.17727,1.4993,2.10577,1.14935,0.00045285,0.00045285,0.00045285
71,1546.34,0.9893,0.7058,0.99467,0.29328,0.44379,0.29929,0.18223,1.4451,2.02714,1.14725,0.000438703,0.000438703,0.000438703
72,1566.34,0.9197,0.66359,0.97793,0.33145,0.44683,0.30438,0.18005,1.45152,1.93413,1.14263,0.000424556,0.000424556,0.000424556
73,1588.53,0.94281,0.67361,0.97539,0.30646,0.44836,0.30816,0.18688,1.43218,1.94182,1.13519,0.000410409,0.000410409,0.000410409
74,1608.99,0.94136,0.66181,0.98577,0.32282,0.41682,0.29172,0.17859,1.44783,2.10093,1.1337,0.000396262,0.000396262,0.000396262
75,1632.48,0.94144,0.66123,0.98986,0.34663,0.41122,0.30326,0.18764,1.42797,2.07091,1.13216,0.000382115,0.000382115,0.000382115
76,1653.91,0.89679,0.63981,0.97931,0.33158,0.44038,0.302,0.18073,1.45521,2.06976,1.14855,0.000367967,0.000367967,0.000367967
77,1677.69,0.88755,0.64308,0.97287,0.285,0.43774,0.28589,0.17064,1.43844,2.09262,1.14486,0.00035382,0.00035382,0.00035382
78,1698.2,0.88807,0.5983,0.9624,0.29751,0.44913,0.2792,0.16925,1.44454,2.17133,1.1555,0.000339673,0.000339673,0.000339673
79,1722.35,0.88453,0.61948,0.96401,0.29521,0.46843,0.2981,0.18041,1.432,2.15022,1.1552,0.000325526,0.000325526,0.000325526
80,1746.99,0.91202,0.62119,0.97235,0.37139,0.4216,0.34176,0.20793,1.43845,1.9952,1.14866,0.000311379,0.000311379,0.000311379
81,1767.81,0.89874,0.63632,0.97082,0.4105,0.39092,0.34632,0.20895,1.42422,1.96512,1.1474,0.000297232,0.000297232,0.000297232
82,1790.47,0.87963,0.61582,0.97337,0.32849,0.48439,0.3343,0.19984,1.43488,1.99314,1.15066,0.000283085,0.000283085,0.000283085
83,1812.08,0.85969,0.60789,0.96359,0.35502,0.46455,0.33308,0.20317,1.40617,2.04328,1.14268,0.000268938,0.000268938,0.000268938
84,1834.29,0.88091,0.60323,0.95823,0.34936,0.45629,0.33214,0.20253,1.442,2.06694,1.15255,0.000254791,0.000254791,0.000254791
85,1853.9,0.87283,0.61871,0.97468,0.37072,0.44392,0.34324,0.20708,1.45174,2.04018,1.15366,0.000240644,0.000240644,0.000240644
86,1873.85,0.87403,0.60585,0.96855,0.4073,0.41084,0.35167,0.21198,1.44377,2.01745,1.1494,0.000226497,0.000226497,0.000226497
